productTitle,regularPrice,discountPrice,Price,productDesc,productImage
Ordinateur de bureau HP Elite tower 800 G9 (5V8U2EA),"18 915,00 DH","-805,00 DH","18 110,00 DH TTC","Intel® Core™i7-12700 (jusqu’à 4,9 GHz avec la technologie Intel® Turbo Boost, 25 Mo de mémoire cache L3, 12 cœurs, 20 threads)RAM: 16 Go de mémoire RAM DDR5-4800 MHz (1 x 16 Go)Disque 1 dur: SSD NVMe™ PCIe® 512 GoCarte graphique: Intel® UHDWindows 11 ProfessionnelUnité centrale sans écran",https://www.iris.ma/68228-listing/ordinateur-de-bureau-hp-elite-tower-800-g9-5v8u2ea.jpg
Ordinateur portable Asus TUF DASH F15 FX516 (90NR05X1-M001U0),"25 896,00 DH","-3 936,00 DH","21 960,00 DH TTC","Intel® Core™ i7-11370H Processor 3.3 GHz (12M Cache, up to 4.8 GHz, 4 cores)RAM: 16 GB (8GB DDR4 on board + 8GB 1 DDR4-3200 SO-DIMM)Disque dur: 512GB PCIe® 3.0 NVMe™ M.2 SSDÉcran: 15.6"" FHD (1920 x 1080) 16:9 144Hz Value IPS-level 250nits anti-glare Contrast 1000:1 45% NTSC 62.5% SRGB 47.34% Adobe Viewing Angle 85/85/85/85 Adaptive-SyncCarte graphique: NVIDIA® GeForce RTX™ 3060 Laptop GPUWindows 11 HomeClavier: Backlit Chiclet Keyboard Single Light, Français (AZERTY)Poids: 2.00 Kg",https://www.iris.ma/61520-listing/ordinateur-portable-asus-tuf-dash-f15-fx516-90nr05x1-m001u0.jpg
Ordinateur portable HP Victus 16-d1001nk (6D6Z5EA),"20 568,00 DH","-2 628,00 DH","17 940,00 DH TTC","Intel® Core™ i7-12700H (jusqu’à 4,7 GHz avec la technologie Intel® Turbo Boost, mémoire cache L3 24 Mo, 14 cœurs, 20 threads)RAM: 16 Go de mémoire RAM DDR5-4800 MHz (2 x 8 Go)Disque dur: SSD 512 GB PCIe® NVMe™ TLC M.2Écran: Full HD d’une diagonale de 40,9 cm (16,1 pouces) 1 (1920 x 1080), IPS, micro-bords, antireflet, 250 nits, 45 % NTSCCarte graphique: NVIDIA® GeForce RTX™ 3050 TiWindows 11 Édition Familiale unilingueClavier: Clavier bleu performance, rétroéclairé, de grande taille avec pavé numérique, Français (AZERTY)Poids: À partir de 2,46 kg",https://www.iris.ma/69368-listing/ordinateur-portable-hp-victus-16-d1001nk-6d6z5ea.jpg
Ordinateur portable Asus Zenbook Pro 15 (90NB0V92-M00HE0),"23 040,00 DH","-3 080,00 DH","19 960,00 DH TTC","AMD Ryzen™ 7 5800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.4 GHz 1 max boost)RAM: 16GB LPDDR4X on boardDisque dur: 512GB M.2 NVMe™ PCIe® 3.0 SSDHDD RubberÉcran: 15.6"" FHD (1920 x 1080) 16:9 LED Backlit 400nits Anti-glare 100% sRGB color gamutCarte graphique: NVIDIA® GeForce® RTX™ 3050 Ti Laptop GPU - 4GB GDDR6Windows 11 HomeClavier: Backlit Chiclet Keyboard with Num-keyPoids: 1.80 kg",https://www.iris.ma/57892-listing/ordinateur-portable-asus-zenbook-pro-15-90nb0v92-m00he0.jpg
Ordinateur de bureau Asus Gamer ROG STRIX G15 G15CF (90PF03C2-M008A0),"28 392,00 DH","-3 272,00 DH","25 120,00 DH TTC","Intel® Core™ i7-12700 Processor 2.1 GHz (25M Cache, up to 4.9 GHz, 12 cores)RAM: 16 GB (8GB DDR4 U-DIMM * 2)Disque dur: 512GB M.2 NVMe™ PCIe® 4.0 Performance SSDCarte graphique: 1 NVIDIA® GeForce® RTX3060 12GB DDR6 : 3x DP, 1x HDMIWindows 11 HomeUnité centrale sans écran",https://www.iris.ma/57756-listing/ordinateur-de-bureau-asus-gamer-rog-strix-g15-g15cf-90pf03c2-m008a0.jpg
Ordinateur de bureau HP VICTUS 15L Gaming TG02-1000nk (845S8EA),"17 393,00 DH","-743,00 DH","16 650,00 DH TTC","Intel® Core™ i7-13700F (jusqu’à 5,2 GHz avec la technologie Intel® Turbo Boost, 30 Mo de mémoire cache L3, 16 cœurs, 24 threads)RAM: 16 Go de mémoire RAM DDR4-3200 MHz (2 x 8 Go)Disque dur: SSD 1 PCIe® NVMe™ M.2 512 GoCarte graphique: Dédié,  Carte NVIDIA® GeForce RTX™ 3060 (12 Go de mémoire GDDR6 dédiée)Windows 11 Famille unilingue en mode SUnité centrale sans écran",https://www.iris.ma/68655-listing/ordinateur-de-bureau-hp-victus-15l-gaming-tg02-1000nk-845s8ea.jpg
Ordinateur portable HP EliteBook 1040 14 pouces G9 Édition Wolf Pro Security (6T1R0EA),"26 307,00 DH","-1 127,00 DH","25 180,00 DH TTC","Intel® Core™ i7-1255U (jusqu’à 4,7 GHz avec la technologie Intel® Turbo Boost, mémoire cache L3 12 Mo, 10 cœurs, 12 threads)RAM: 16 Go de mémoire RAM DDR5-4800 MHz (1 x 16 Go)Disque dur: SSD PCIe® NVMe™ TLC 1 ToÉcran: Tactile WUXGA diagonale 35,6 cm (14 pouces) (1920 x 1200), IPS, antireflet, 250 1 nits, 45 % NTSCCarte graphique: Intel® Iris® XᵉWindows 11 Pro (préinstallé avec Windows 10 Pro Version inférieure)Clavier: HP Premium – clavier rétroéclairé étanche, Français (AZERTY)Poids: Pesant à partir de 1,16 kg",https://www.iris.ma/67354-listing/ordinateur-portable-hp-elitebook-1040-14-pouces-g9-edition-wolf-pro-security-6t1r0ea.jpg
Ordinateur portable HP OMEN 16-wf0001nk (845P0EA),"23 154,00 DH","-994,00 DH","22 160,00 DH TTC","Intel® Core™ i7-13700HX (jusqu’à 5.0 GHz avec la technologie Intel® Turbo Boost, 30 Mo de mémoire cache L3, 16 cœurs, 24 threads)RAM: 16 Go de mémoire RAM DDR5-4800 MHz (2 x 8 Go)Disque dur: SSD 1 To PCIe® Gen4 NVMe™ TLC M.2Écran: FHD de 40,9 cm (16,1 po) (1920 x 1080), 165 Hz, temps de réponse de 7 ms, IPS, micro-bords, antireflet, lumière bleue réduite, 300 nits, 100 % sRGBCarte graphique: Dédié,  1 Carte graphique NVIDIA® GeForce RTX™ 4060 Ordinateur portable GPU (8 Go de mémoire GDDR6 dédiée)Windows 11 Édition Familiale unilingueClavier: Clavier noir ombré rétroéclairé RGB, de grande taille, 4 zones et doté de la technologie anti-ghosting avec rollover sur 26 touches, Français (AZERTY)Poids: 2,44 kg",https://www.iris.ma/68649-listing/ordinateur-portable-hp-omen-16-wf0001nk-845p0ea.jpg
Ordinateur portable Asus Zenbook DUO UX482E (90NB0S51-M06270),"26 904,00 DH","-4 385,00 DH","22 519,00 DH TTC","Intel® Core™ i7-1165G7 Processor 2.8 GHz (12M Cache, up to 4.7 GHz, 4 cores)RAM: 16GB LPDDR4X on boardDisque dur: 512GB M.2 NVMe™ PCIe® 3.0 SSDÉcran: 14.0"" Tactile FHD (1920 x 1080) 16:9 LED Backlit 400nits Anti-glare 100% sRGB color gamut, Screen-to-body ratio: 93%, IPS-level PanelScreenPad™ Plus (12.65"" 1920 x 515 IPS-level Panel Support Stylus)Carte graphique: NVIDIA® GeForce® MX450 - 2GB GDDR6Windows 10 HomeClavier: Backlit 1 Chiclet Keyboard, Français (AZERTY)Poids: 1.62 kg",https://www.iris.ma/57961-listing/ordinateur-portable-asus-zenbook-duo-ux482e-90nb0s51-m06270.jpg
Ordinateur Portable Lenovo ThinkPad X1 Yoga Gen 8 (21HQ006DFE),"40 128,00 DH","-7 038,00 DH","33 090,00 DH TTC","Intel® Core™ i7-1355U, 10C (2P + 8E) / 12T, P-core 1.7 / 5.0GHz, E-core 1.2 / 3.7GHz, 12MBRAM: 16GB Soldered LPDDR5-6400Disque dur: 1TB SSD M.2 2280 PCIe® 4.0x4 Performance NVMe® Opal 2.0Écran: 14"" WUXGA (1920x1200) IPS 400nits Anti-reflection / Anti-smudge, 100% sRGB, Low Power, TouchCarte graphique: Intel® Iris® Xe GraphicsWindows® 11 ProfessionnelClavier: Français (AZERTY)Poids: À partir 1 de 1.38 kg",https://www.iris.ma/70936-listing/ordinateur-portable-lenovo-thinkpad-x1-yoga-gen-8-21hq006dfe.jpg
Ordinateur portable Asus ROG Zephyrus Duo 16 (90NR0931-M002R0),"47 976,00 DH","-8 950,00 DH","39 026,00 DH TTC","AMD Ryzen™ 7 6800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)RAM: 32 GB (16GB DDR5-4800 SO-DIMM *2)Disque dur: 512GB M.2 NVMe™ PCIe® 4.0 SSDÉcran: 16"" WUXGA (1920 x 1200) 16:10 165Hz 3ms IPS-level anti-glare 500 nits 1200:1 72 NTSC % 100 SRGB % 75.35 Adobe % Viewing Angle 85/85/85/85 FreeSync Pantone Validated Support stylus Support Dolby Vision HDRScreenPad™ Plus (14"" 1920 x 550 IPS-level Panel Support Stylus)Carte graphique: NVIDIA® GeForce RTX™ 3070 Ti Laptop GPU - 8GB 1 GDDR6Windows 11 HomeClavier: Backlit Chiclet Keyboard Per-Key RGB, Français (AZERTY)Poids: 2.50 Kg",https://www.iris.ma/63390-listing/ordinateur-portable-asus-rog-zephyrus-duo-16-90nr0931-m002r0.jpg
